code,location,interlevel,original
012814006,CARAY,Bgy,True
012814007,GARNADEN,Bgy,True
012814008,NAGUILLAN,Bgy,False
012814008,NAGUILLAN (PAGPAG-ONG),Bgy,True
012814008,PAGPAG-ONG,Bgy,False
012814009,POBLACION,Bgy,True
012814010,SANTO NIÑO,Bgy,True
012814010,SANTO NINO,Bgy,False
012814011,UGUIS,Bgy,True
012815000,PAGUDPUD,Mun,True
012815001,AGGASI,Bgy,True
012815003,BADUANG,Bgy,True
012815004,BALAOI,Bgy,True
012815005,BURAYOC,Bgy,True
012815006,CAUNAYAN,Bgy,True
012815007,DAMPIG,Bgy,True
012815008,LIGAYA,Bgy,True
012815010,PANCIAN,Bgy,True
012815011,PASALENG,Bgy,True
